isic_id,target
ISIC_0082829,0.9953666925430298
ISIC_0114227,1.958741790986096e-07
ISIC_0157465,4.477161349991654e-11
ISIC_0197356,8.897319729930797e-13
ISIC_0275647,8.276427251985297e-05
ISIC_0332355,0.038047514855861664
ISIC_0528190,0.9954370856285095
ISIC_0576478,3.1977961612028594e-08
ISIC_0719839,0.003540563164278865
ISIC_0968965,0.8734483122825623
ISIC_1071408,0.9272375702857971
ISIC_1164461,0.9872883558273315
ISIC_1167597,1.4900228828551576e-09
ISIC_1211710,0.9339984655380249
ISIC_1565789,1.0269213035485336e-08
ISIC_1659472,6.860299617983401e-05
ISIC_1665523,6.926587303723863e-08
ISIC_1705108,0.1646488457918167
ISIC_1721956,3.071259197895415e-05
ISIC_1767539,8.351225915248506e-07
ISIC_1792562,0.0007943325326777995
ISIC_1805261,0.8576502799987793
ISIC_1885694,0.8669207096099854
ISIC_2299573,2.16073494812008e-05
ISIC_2353180,8.360172110144504e-09
ISIC_2358370,1.0989888998835795e-08
ISIC_2364514,0.9990496039390564
ISIC_2522407,8.542556106938548e-10
ISIC_2620684,0.0005051870248280466
ISIC_2795200,7.729794742772356e-05
ISIC_2913326,3.375830601726193e-07
ISIC_3005303,0.00010180995741393417
ISIC_3156688,0.020425911992788315
ISIC_3190920,0.9980781078338623
ISIC_3198474,4.1377092863115195e-09
ISIC_3229915,3.5558560540494e-09
ISIC_3237789,5.671371372528711e-09
ISIC_3361287,6.774577627766121e-07
ISIC_3418189,0.9767506122589111
ISIC_3450877,0.9999682903289795
ISIC_3545867,1.9057878830608388e-07
ISIC_3744161,0.9970377683639526
ISIC_3801297,0.0002143599558621645
ISIC_3812820,3.693849350838718e-07
ISIC_3813551,2.2823425751994364e-05
ISIC_3819458,2.4284041444389004e-10
ISIC_3834879,2.8944713292844426e-09
ISIC_3890780,0.9995237588882446
ISIC_3911373,6.321563716937817e-09
ISIC_3955107,0.9999277591705322
ISIC_4079957,0.00020851893350481987
ISIC_4113828,1.511982503643594e-07
ISIC_4217775,0.9878826141357422
ISIC_4356565,9.404907075349911e-08
ISIC_4495429,9.368112614538404e-07
ISIC_4652719,0.0004629275354091078
ISIC_4676558,2.689902522945431e-09
ISIC_4719164,1.0370862923991808e-07
ISIC_4908511,1.014187045456083e-08
ISIC_4956341,0.0013239249819889665
ISIC_5068210,0.9936000108718872
ISIC_5221028,3.410450588603453e-08
ISIC_5347922,5.792443971586181e-06
ISIC_5599240,2.066561227698216e-10
ISIC_5604930,2.3947166472026993e-10
ISIC_5985180,0.8967300057411194
ISIC_6031870,5.039357802161248e-06
ISIC_6134400,4.380659675007337e-07
ISIC_6242031,0.6962869763374329
ISIC_6306355,5.109918106427358e-07
ISIC_6395169,0.20781759917736053
ISIC_6553846,0.8632224798202515
ISIC_6621626,0.00968201458454132
ISIC_6730784,3.8385613152058795e-05
ISIC_6776067,0.13421805202960968
ISIC_6867783,1.3491775234797387e-06
ISIC_7063920,0.0004887079121544957
ISIC_7224080,3.3841540680867865e-09
ISIC_7231436,0.07163936644792557
ISIC_7235721,0.999828577041626
ISIC_7800702,0.9998860359191895
ISIC_8195275,0.0014065044233575463
ISIC_8398608,3.7116413295734674e-05
ISIC_8491708,0.8595525622367859
ISIC_8670115,3.644906598765374e-08
ISIC_8717913,0.8438516855239868
ISIC_8793515,8.081637026258193e-10
ISIC_8885890,0.001148791634477675
ISIC_9152373,0.9794957041740417
ISIC_9153490,4.556060062554934e-08
ISIC_9188287,0.9963899254798889
ISIC_9266851,0.9958500862121582
ISIC_9308780,6.959727794075832e-10
ISIC_9347557,3.0721863941707284e-10
ISIC_9413613,1.840256480534208e-08
ISIC_9441573,1.4858191066391413e-10
ISIC_9661879,3.14060688566542e-09
ISIC_9877311,0.0009250480798073113
ISIC_9917954,5.842892960572499e-07
ISIC_9941636,1.7422426834556859e-09
